cell	node	doublet
Cell_0	3	no
Cell_1	4	no
Cell_2	3	no
Cell_3	0	no
Cell_4	3	no
Cell_5	0	no
Cell_6	4	no
Cell_7	0	no
Cell_8	3	no
Cell_9	4	no
Cell_10	0	no
Cell_11	0	no
Cell_12	0	no
Cell_13	3	no
Cell_14	0	no
Cell_15	4	no
Cell_16	4	no
Cell_17	4	no
Cell_18	3	no
Cell_19	3	no
Cell_20	4	no
Cell_21	4	no
Cell_22	0	no
Cell_23	3	no
Cell_24	3	no
Cell_25	4	no
Cell_26	3	no
Cell_27	4	no
Cell_28	2	no
Cell_29	3	no
Cell_30	3	no
Cell_31	4	no
Cell_32	3	no
Cell_33	3	no
Cell_34	4	no
Cell_35	3	no
Cell_36	3	no
Cell_37	4	no
Cell_38	4	no
Cell_39	3	no
Cell_40	3	no
Cell_41	3	no
Cell_42	4	no
Cell_43	4	no
Cell_44	4	no
Cell_45	3	no
Cell_46	2	no
Cell_47	3	no
Cell_48	4	no
Cell_49	3	no
Cell_50	4	no
Cell_51	3	no
Cell_52	3	no
Cell_53	4	no
Cell_54	4	no
Cell_55	4	no
Cell_56	2	no
Cell_57	3	no
Cell_58	4	no
Cell_59	3	no
Cell_60	4	no
Cell_61	4	no
Cell_62	3	no
Cell_63	4	no
Cell_64	4	no
Cell_65	4	no
Cell_66	3	no
Cell_67	3	no
Cell_68	3	no
Cell_69	3	no
Cell_70	4	no
Cell_71	4	no
Cell_72	3	no
Cell_73	3	no
Cell_74	4	no
Cell_75	0	no
Cell_76	4	no
Cell_77	4	no
Cell_78	4	no
Cell_79	4	no
Cell_80	3	no
Cell_81	4	no
Cell_82	4	no
Cell_83	3	no
Cell_84	3	no
Cell_85	2	no
Cell_86	4	no
Cell_87	4	no
Cell_88	3	no
Cell_89	4	no
Cell_90	3	no
Cell_91	4	no
Cell_92	3	no
Cell_93	3	no
Cell_94	3	no
Cell_95	3	no
Cell_96	0	no
Cell_97	0	no
Cell_98	3	no
Cell_99	4	no
Cell_100	3	no
Cell_101	3	no
Cell_102	3	no
Cell_103	4	no
Cell_104	4	no
Cell_105	3	no
Cell_106	4	no
Cell_107	3	no
Cell_108	0	no
Cell_109	4	no
Cell_110	3	no
Cell_111	3	no
Cell_112	3	no
Cell_113	3	no
Cell_114	3	no
Cell_115	3	no
Cell_116	4	no
Cell_117	0	no
Cell_118	3	no
Cell_119	4	no
Cell_120	3	no
Cell_121	3	no
Cell_122	4	no
Cell_123	4	no
Cell_124	3	no
Cell_125	3	no
Cell_126	4	no
Cell_127	3	no
Cell_128	3	no
Cell_129	4	no
Cell_130	4	no
Cell_131	4	no
Cell_132	0	no
Cell_133	4	no
Cell_134	4	no
Cell_135	0	no
Cell_136	3	no
Cell_137	4	no
Cell_138	3	no
Cell_139	3	no
Cell_140	0	no
Cell_141	4	no
Cell_142	3	no
Cell_143	3	no
Cell_144	3	no
Cell_145	3	no
Cell_146	4	no
Cell_147	3	no
Cell_148	0	no
Cell_149	3	no
Cell_150	3	no
Cell_151	3	no
Cell_152	3	no
Cell_153	4	no
Cell_154	3	no
Cell_155	4	no
Cell_156	3	no
Cell_157	3	no
Cell_158	0	no
Cell_159	3	no
Cell_160	4	no
Cell_161	3	no
Cell_162	3	no
Cell_163	4	no
Cell_164	4	no
Cell_165	3	no
Cell_166	2	no
Cell_167	3	no
Cell_168	4	no
Cell_169	3	no
Cell_170	3	no
Cell_171	3	no
Cell_172	4	no
Cell_173	3	no
Cell_174	3	no
Cell_175	3	no
Cell_176	4	no
Cell_177	3	no
Cell_178	3	no
Cell_179	3	no
Cell_180	4	no
Cell_181	4	no
Cell_182	3	no
Cell_183	3	no
Cell_184	3	no
Cell_185	4	no
Cell_186	3	no
Cell_187	3	no
Cell_188	4	no
Cell_189	3	no
Cell_190	4	no
Cell_191	3	no
Cell_192	4	no
Cell_193	3	no
Cell_194	4	no
Cell_195	0	no
Cell_196	3	no
Cell_197	4	no
Cell_198	2	no
Cell_199	2	no
Cell_200	4	no
Cell_201	0	no
Cell_202	4	no
Cell_203	0	no
Cell_204	3	no
Cell_205	3	no
Cell_206	3	no
Cell_207	3	no
Cell_208	3	no
Cell_209	2	no
Cell_210	3	no
Cell_211	3	no
Cell_212	3	no
Cell_213	4	no
Cell_214	3	no
Cell_215	3	no
Cell_216	3	no
Cell_217	3	no
Cell_218	0	no
Cell_219	3	no
Cell_220	3	no
Cell_221	3	no
Cell_222	3	no
Cell_223	3	no
Cell_224	4	no
Cell_225	4	no
Cell_226	0	no
Cell_227	3	no
Cell_228	3	no
Cell_229	3	no
Cell_230	3	no
Cell_231	3	no
Cell_232	4	no
Cell_233	0	no
Cell_234	4	no
Cell_235	3	no
Cell_236	3	no
Cell_237	4	no
Cell_238	3	no
Cell_239	4	no
Cell_240	3	no
Cell_241	4	no
Cell_242	3	no
Cell_243	3	no
Cell_244	3	no
Cell_245	3	no
Cell_246	3	no
Cell_247	3	no
Cell_248	4	no
Cell_249	3	no
Cell_250	0	no
Cell_251	3	no
Cell_252	4	no
Cell_253	3	no
Cell_254	4	no
Cell_255	4	no
Cell_256	4	no
Cell_257	4	no
Cell_258	3	no
Cell_259	4	no
Cell_260	3	no
Cell_261	4	no
Cell_262	4	no
Cell_263	3	no
Cell_264	3	no
Cell_265	3	no
Cell_266	4	no
Cell_267	0	no
Cell_268	4	no
Cell_269	3	no
Cell_270	3	no
Cell_271	3	no
Cell_272	3	no
Cell_273	3	no
Cell_274	2	no
Cell_275	3	no
Cell_276	0	no
Cell_277	3	no
Cell_278	3	no
Cell_279	4	no
Cell_280	2	no
Cell_281	3	no
Cell_282	3	no
Cell_283	4	no
Cell_284	3	no
Cell_285	3	no
Cell_286	3	no
Cell_287	3	no
Cell_288	0	no
Cell_289	0	no
Cell_290	3	no
Cell_291	4	no
Cell_292	4	no
Cell_293	4	no
Cell_294	2	no
Cell_295	3	no
Cell_296	4	no
Cell_297	4	no
Cell_298	4	no
Cell_299	3	no
Cell_300	3	no
Cell_301	2	no
Cell_302	3	no
Cell_303	3	no
Cell_304	4	no
Cell_305	3	no
Cell_306	4	no
Cell_307	4	no
Cell_308	3	no
Cell_309	3	no
Cell_310	3	no
Cell_311	3	no
Cell_312	3	no
Cell_313	2	no
Cell_314	3	no
Cell_315	3	no
Cell_316	2	no
Cell_317	4	no
Cell_318	3	no
Cell_319	4	no
Cell_320	3	no
Cell_321	3	no
Cell_322	3	no
Cell_323	3	no
Cell_324	4	no
Cell_325	3	no
Cell_326	3	no
Cell_327	2	no
Cell_328	3	no
Cell_329	3	no
Cell_330	3	no
Cell_331	0	no
Cell_332	3	no
Cell_333	4	no
Cell_334	4	no
Cell_335	3	no
Cell_336	3	no
Cell_337	4	no
Cell_338	4	no
Cell_339	3	no
Cell_340	4	no
Cell_341	0	no
Cell_342	3	no
Cell_343	2	no
Cell_344	3	no
Cell_345	3	no
Cell_346	3	no
Cell_347	3	no
Cell_348	4	no
Cell_349	3	no
Cell_350	4	no
Cell_351	4	no
Cell_352	4	no
Cell_353	3	no
Cell_354	4	no
Cell_355	4	no
Cell_356	3	no
Cell_357	4	no
Cell_358	3	no
Cell_359	3	no
Cell_360	3	no
Cell_361	2	no
Cell_362	3	no
Cell_363	4	no
Cell_364	3	no
Cell_365	3	no
Cell_366	3	no
Cell_367	3	no
Cell_368	3	no
Cell_369	3	no
Cell_370	3	no
Cell_371	0	no
Cell_372	3	no
Cell_373	4	no
Cell_374	4	no
Cell_375	3	no
Cell_376	3	no
Cell_377	3	no
Cell_378	4	no
Cell_379	3	no
Cell_380	4	no
Cell_381	3	no
Cell_382	0	no
Cell_383	3	no
Cell_384	4	no
Cell_385	4	no
Cell_386	3	no
Cell_387	4	no
Cell_388	3	no
Cell_389	4	no
Cell_390	3	no
Cell_391	0	no
Cell_392	3	no
Cell_393	2	no
Cell_394	4	no
Cell_395	3	no
Cell_396	3	no
Cell_397	3	no
Cell_398	3	no
Cell_399	3	no
Cell_400	4	no
Cell_401	0	no
Cell_402	3	no
Cell_403	4	no
Cell_404	3	no
Cell_405	4	no
Cell_406	3	no
Cell_407	4	no
Cell_408	4	no
Cell_409	4	no
Cell_410	3	no
Cell_411	3	no
Cell_412	3	no
Cell_413	0	no
Cell_414	3	no
Cell_415	3	no
Cell_416	0	no
Cell_417	2	no
Cell_418	0	no
Cell_419	3	no
Cell_420	3	no
Cell_421	2	no
Cell_422	3	no
Cell_423	3	no
Cell_424	3	no
Cell_425	3	no
Cell_426	4	no
Cell_427	3	no
Cell_428	4	no
Cell_429	3	no
Cell_430	4	no
