cell	node	doublet
Cell_0	0	no
Cell_1	4	no
Cell_2	4	no
Cell_3	4	no
Cell_4	3	no
Cell_5	0	no
Cell_6	0	no
Cell_7	1	no
Cell_8	4	yes
Cell_9	4	no
Cell_10	3	no
Cell_11	1	no
Cell_12	4	no
Cell_13	3	no
Cell_14	4	no
Cell_15	1	no
Cell_16	1	no
Cell_17	1	no
Cell_18	3	no
Cell_19	3	no
Cell_20	1	no
Cell_21	4	no
Cell_22	4	no
Cell_23	1	no
Cell_24	0	yes
Cell_25	1	no
Cell_26	1	no
Cell_27	1	no
Cell_28	4	no
Cell_29	4	no
Cell_30	1	no
Cell_31	0	no
Cell_32	1	no
Cell_33	4	no
Cell_34	4	no
Cell_35	3	no
Cell_36	4	no
Cell_37	1	no
Cell_38	4	yes
Cell_39	0	no
Cell_40	1	no
Cell_41	1	no
Cell_42	1	no
Cell_43	1	no
Cell_44	4	no
Cell_45	4	no
Cell_46	3	no
Cell_47	0	no
Cell_48	1	no
Cell_49	0	no
Cell_50	1	no
Cell_51	3	no
Cell_52	1	no
Cell_53	1	no
Cell_54	1	no
Cell_55	4	no
Cell_56	1	no
Cell_57	4	no
Cell_58	0	no
Cell_59	1	no
Cell_60	4	no
Cell_61	1	no
Cell_62	1	no
Cell_63	0	no
Cell_64	1	no
Cell_65	3	no
Cell_66	4	no
Cell_67	1	no
Cell_68	4	yes
Cell_69	0	no
Cell_70	1	no
Cell_71	4	no
Cell_72	4	no
Cell_73	4	no
Cell_74	4	no
Cell_75	0	no
Cell_76	1	no
Cell_77	4	no
Cell_78	0	no
Cell_79	1	no
Cell_80	4	no
Cell_81	1	no
Cell_82	4	no
Cell_83	3	no
Cell_84	1	no
Cell_85	3	no
Cell_86	0	no
Cell_87	4	no
Cell_88	0	no
Cell_89	4	no
Cell_90	0	no
Cell_91	0	no
Cell_92	1	no
Cell_93	4	no
Cell_94	4	no
Cell_95	4	no
Cell_96	1	no
Cell_97	2	no
Cell_98	4	no
Cell_99	1	no
Cell_100	4	no
Cell_101	4	no
Cell_102	0	no
