cell	node	doublet
Cell_0	3	no
Cell_1	5	no
Cell_2	3	no
Cell_3	3	no
Cell_4	3	no
Cell_5	3	no
Cell_6	3	no
Cell_7	3	no
Cell_8	5	no
Cell_9	3	yes
Cell_10	3	yes
Cell_11	3	no
Cell_12	3	no
Cell_13	2	yes
Cell_14	3	no
Cell_15	3	no
Cell_16	3	no
Cell_17	3	no
Cell_18	5	no
Cell_19	3	no
Cell_20	3	no
Cell_21	3	no
Cell_22	3	no
Cell_23	3	no
Cell_24	3	no
Cell_25	3	no
Cell_26	3	no
Cell_27	5	yes
Cell_28	3	no
Cell_29	3	no
Cell_30	3	no
Cell_31	3	no
Cell_32	3	no
Cell_33	3	no
Cell_34	3	no
Cell_35	3	no
Cell_36	3	no
Cell_37	5	no
Cell_38	3	no
Cell_39	3	no
Cell_40	3	no
Cell_41	5	no
Cell_42	3	no
Cell_43	3	no
Cell_44	3	no
Cell_45	3	no
Cell_46	4	yes
Cell_47	3	no
Cell_48	2	yes
Cell_49	3	no
Cell_50	3	no
Cell_51	3	no
Cell_52	3	no
Cell_53	3	no
Cell_54	5	no
Cell_55	3	no
Cell_56	3	no
Cell_57	3	no
Cell_58	3	no
Cell_59	3	no
Cell_60	3	no
Cell_61	3	no
Cell_62	3	no
Cell_63	3	no
Cell_64	5	no
Cell_65	3	no
Cell_66	3	no
Cell_67	3	no
Cell_68	2	no
Cell_69	3	no
Cell_70	3	no
Cell_71	3	no
Cell_72	3	no
Cell_73	3	no
Cell_74	3	no
Cell_75	3	no
Cell_76	5	yes
Cell_77	3	no
Cell_78	5	no
Cell_79	3	no
Cell_80	3	no
Cell_81	3	no
Cell_82	3	no
Cell_83	3	no
Cell_84	3	no
Cell_85	3	no
Cell_86	5	no
Cell_87	5	no
Cell_88	3	no
Cell_89	3	no
Cell_90	5	no
Cell_91	3	no
Cell_92	5	no
Cell_93	3	no
Cell_94	1	no
Cell_95	3	no
Cell_96	3	no
Cell_97	2	no
Cell_98	3	no
Cell_99	5	no
Cell_100	5	no
Cell_101	3	no
Cell_102	3	no
Cell_103	2	no
Cell_104	3	no
Cell_105	3	no
Cell_106	3	no
Cell_107	3	no
Cell_108	3	no
Cell_109	5	no
Cell_110	5	no
Cell_111	3	no
Cell_112	3	no
Cell_113	3	no
Cell_114	5	no
Cell_115	5	no
Cell_116	3	no
Cell_117	3	no
Cell_118	5	no
Cell_119	3	no
Cell_120	3	no
Cell_121	5	no
Cell_122	3	no
Cell_123	2	no
Cell_124	5	no
Cell_125	3	no
Cell_126	3	no
Cell_127	3	no
Cell_128	3	no
Cell_129	3	no
Cell_130	3	no
Cell_131	3	no
Cell_132	3	no
Cell_133	3	no
Cell_134	3	no
Cell_135	3	no
Cell_136	3	no
Cell_137	3	no
Cell_138	3	no
Cell_139	3	no
Cell_140	3	no
Cell_141	3	no
Cell_142	3	no
Cell_143	5	no
Cell_144	2	no
Cell_145	3	no
Cell_146	3	no
Cell_147	3	no
Cell_148	5	no
Cell_149	5	no
Cell_150	3	no
Cell_151	3	no
Cell_152	5	no
Cell_153	3	no
Cell_154	3	no
Cell_155	5	no
Cell_156	2	no
Cell_157	3	no
Cell_158	3	no
Cell_159	3	no
Cell_160	3	no
Cell_161	5	no
Cell_162	3	no
Cell_163	3	no
Cell_164	2	no
Cell_165	3	no
Cell_166	3	no
Cell_167	3	no
Cell_168	3	no
Cell_169	3	no
Cell_170	3	no
Cell_171	4	no
Cell_172	4	no
Cell_173	3	no
Cell_174	3	no
Cell_175	3	no
Cell_176	3	no
Cell_177	3	no
Cell_178	3	no
Cell_179	3	no
Cell_180	3	no
Cell_181	3	no
Cell_182	5	no
Cell_183	3	no
Cell_184	3	no
Cell_185	5	no
Cell_186	5	no
Cell_187	3	no
Cell_188	3	no
Cell_189	5	no
Cell_190	5	no
Cell_191	3	no
Cell_192	3	no
Cell_193	3	no
Cell_194	3	no
Cell_195	5	no
Cell_196	3	no
Cell_197	3	no
Cell_198	3	no
Cell_199	3	no
Cell_200	3	no
Cell_201	5	no
Cell_202	3	no
Cell_203	3	no
Cell_204	3	no
Cell_205	1	no
Cell_206	3	no
Cell_207	5	no
Cell_208	3	no
Cell_209	3	no
Cell_210	3	no
Cell_211	3	no
Cell_212	3	no
Cell_213	3	no
Cell_214	5	no
Cell_215	5	no
Cell_216	3	no
Cell_217	3	no
Cell_218	3	no
Cell_219	3	no
Cell_220	3	no
Cell_221	3	no
Cell_222	5	no
Cell_223	5	no
Cell_224	3	no
Cell_225	3	no
Cell_226	3	no
Cell_227	4	no
Cell_228	3	no
Cell_229	3	no
Cell_230	5	no
Cell_231	3	no
Cell_232	3	no
Cell_233	5	no
Cell_234	3	no
Cell_235	5	no
Cell_236	3	no
Cell_237	3	no
Cell_238	3	no
Cell_239	3	no
Cell_240	5	no
Cell_241	3	no
Cell_242	5	no
Cell_243	5	no
Cell_244	5	no
Cell_245	3	no
Cell_246	3	no
Cell_247	3	no
Cell_248	3	no
Cell_249	3	no
Cell_250	3	no
Cell_251	3	no
Cell_252	3	no
Cell_253	3	no
Cell_254	3	no
Cell_255	5	no
Cell_256	3	no
Cell_257	3	no
Cell_258	3	no
Cell_259	3	no
Cell_260	3	no
Cell_261	3	no
Cell_262	3	no
Cell_263	3	no
Cell_264	2	yes
Cell_265	3	no
Cell_266	3	no
Cell_267	3	no
Cell_268	3	no
Cell_269	3	no
Cell_270	3	no
Cell_271	3	no
Cell_272	3	no
Cell_273	3	no
Cell_274	3	no
Cell_275	5	yes
Cell_276	3	no
Cell_277	3	no
Cell_278	3	no
Cell_279	3	no
Cell_280	2	no
Cell_281	3	no
Cell_282	3	no
