cell	node	doublet
Cell_0	0	no
Cell_1	1	no
Cell_2	1	no
Cell_3	1	no
Cell_4	3	no
Cell_5	0	no
Cell_6	0	no
Cell_7	2	no
Cell_8	1	yes
Cell_9	1	no
Cell_10	3	no
Cell_11	2	no
Cell_12	1	no
Cell_13	3	no
Cell_14	1	no
Cell_15	2	no
Cell_16	2	no
Cell_17	2	no
Cell_18	3	no
Cell_19	3	no
Cell_20	2	no
Cell_21	1	no
Cell_22	1	no
Cell_23	2	no
Cell_24	0	yes
Cell_25	2	no
Cell_26	2	no
Cell_27	2	no
Cell_28	1	no
Cell_29	1	no
Cell_30	2	no
Cell_31	0	no
Cell_32	2	no
Cell_33	1	no
Cell_34	1	no
Cell_35	3	no
Cell_36	1	no
Cell_37	2	no
Cell_38	1	yes
Cell_39	0	no
Cell_40	2	no
Cell_41	2	no
Cell_42	2	no
Cell_43	2	no
Cell_44	1	no
Cell_45	1	no
Cell_46	3	no
Cell_47	0	no
Cell_48	2	no
Cell_49	0	no
Cell_50	2	no
Cell_51	3	no
Cell_52	2	no
Cell_53	2	no
Cell_54	2	no
Cell_55	1	no
Cell_56	2	no
Cell_57	1	no
Cell_58	0	no
Cell_59	2	no
Cell_60	1	no
Cell_61	2	no
Cell_62	2	no
Cell_63	0	no
Cell_64	2	no
Cell_65	3	no
Cell_66	1	no
Cell_67	2	no
Cell_68	1	yes
Cell_69	0	no
Cell_70	2	no
Cell_71	1	no
Cell_72	1	no
Cell_73	1	no
Cell_74	1	no
Cell_75	0	no
Cell_76	2	no
Cell_77	1	no
Cell_78	0	no
Cell_79	2	no
Cell_80	1	no
Cell_81	2	no
Cell_82	1	no
Cell_83	3	no
Cell_84	2	no
Cell_85	3	no
Cell_86	0	no
Cell_87	1	no
Cell_88	0	no
Cell_89	1	no
Cell_90	0	no
Cell_91	0	no
Cell_92	2	no
Cell_93	1	no
Cell_94	1	no
Cell_95	1	no
Cell_96	2	no
Cell_97	4	no
Cell_98	1	no
Cell_99	2	no
Cell_100	1	no
Cell_101	1	no
Cell_102	0	no
Cell_103	1	no
Cell_104	0	no
Cell_105	1	no
Cell_106	2	no
Cell_107	2	no
Cell_108	4	yes
Cell_109	1	no
Cell_110	1	yes
Cell_111	2	no
Cell_112	1	no
Cell_113	0	no
Cell_114	1	no
Cell_115	1	no
Cell_116	1	no
Cell_117	2	no
Cell_118	2	no
Cell_119	2	no
Cell_120	2	no
Cell_121	0	no
Cell_122	1	no
Cell_123	3	no
Cell_124	2	no
Cell_125	2	no
Cell_126	2	no
Cell_127	1	no
Cell_128	1	no
Cell_129	0	no
Cell_130	2	no
Cell_131	3	no
Cell_132	1	no
Cell_133	1	no
Cell_134	1	no
Cell_135	1	no
Cell_136	2	no
Cell_137	1	no
Cell_138	0	yes
Cell_139	0	no
Cell_140	3	no
Cell_141	0	yes
Cell_142	2	no
Cell_143	2	no
Cell_144	1	no
Cell_145	2	no
Cell_146	2	no
Cell_147	3	no
Cell_148	2	no
Cell_149	1	no
Cell_150	1	yes
Cell_151	0	no
Cell_152	1	no
Cell_153	1	no
Cell_154	2	no
Cell_155	2	no
Cell_156	0	no
Cell_157	1	no
Cell_158	0	no
Cell_159	3	no
Cell_160	2	no
Cell_161	1	no
Cell_162	3	no
Cell_163	1	no
Cell_164	2	no
Cell_165	0	no
Cell_166	1	no
Cell_167	0	no
Cell_168	1	no
Cell_169	1	yes
Cell_170	1	no
Cell_171	2	no
Cell_172	1	no
Cell_173	1	no
Cell_174	1	no
Cell_175	2	no
Cell_176	2	no
Cell_177	3	no
Cell_178	2	no
Cell_179	0	no
Cell_180	1	no
Cell_181	2	no
Cell_182	2	no
Cell_183	3	no
Cell_184	1	no
Cell_185	1	no
Cell_186	0	no
Cell_187	3	no
Cell_188	1	no
Cell_189	2	yes
Cell_190	1	no
Cell_191	3	no
Cell_192	1	yes
Cell_193	3	no
Cell_194	2	no
Cell_195	1	no
Cell_196	0	yes
Cell_197	2	no
Cell_198	1	no
Cell_199	3	no
Cell_200	1	no
Cell_201	1	no
Cell_202	1	no
Cell_203	2	no
