cell	node	doublet
Cell_0	0	no
Cell_1	4	no
Cell_2	4	no
Cell_3	4	no
Cell_4	2	no
Cell_5	0	no
Cell_6	0	no
Cell_7	0	no
Cell_8	4	no
Cell_9	0	no
Cell_10	2	no
Cell_11	0	no
Cell_12	0	no
Cell_13	2	no
Cell_14	4	no
Cell_15	0	no
Cell_16	0	no
Cell_17	0	no
Cell_18	2	no
Cell_19	2	no
Cell_20	0	no
Cell_21	4	no
Cell_22	0	no
Cell_23	0	no
Cell_24	0	no
Cell_25	0	no
Cell_26	0	no
Cell_27	0	no
Cell_28	4	no
Cell_29	4	no
Cell_30	0	no
Cell_31	0	no
Cell_32	0	no
Cell_33	4	no
Cell_34	4	no
Cell_35	2	no
Cell_36	4	no
Cell_37	0	no
Cell_38	4	no
Cell_39	0	no
Cell_40	0	no
Cell_41	0	no
Cell_42	0	no
Cell_43	0	no
Cell_44	4	no
Cell_45	0	no
Cell_46	2	no
Cell_47	0	no
Cell_48	0	no
Cell_49	0	no
Cell_50	0	no
Cell_51	2	no
Cell_52	0	no
Cell_53	0	no
Cell_54	0	no
Cell_55	4	no
Cell_56	0	no
Cell_57	0	no
Cell_58	0	no
Cell_59	0	no
Cell_60	4	no
Cell_61	0	no
Cell_62	0	no
Cell_63	0	no
Cell_64	0	no
Cell_65	2	no
Cell_66	4	no
Cell_67	0	no
Cell_68	4	no
Cell_69	0	no
Cell_70	0	no
Cell_71	4	no
Cell_72	4	no
Cell_73	4	no
Cell_74	0	no
Cell_75	0	no
Cell_76	0	no
Cell_77	4	no
Cell_78	0	no
Cell_79	0	no
Cell_80	4	no
Cell_81	0	no
Cell_82	4	no
Cell_83	2	no
Cell_84	0	no
Cell_85	2	no
Cell_86	0	no
Cell_87	4	no
Cell_88	0	no
Cell_89	4	no
Cell_90	0	no
Cell_91	0	no
Cell_92	0	no
Cell_93	4	no
Cell_94	4	no
Cell_95	4	no
Cell_96	0	no
Cell_97	4	no
Cell_98	4	no
Cell_99	0	no
Cell_100	4	no
Cell_101	4	no
Cell_102	0	no
Cell_103	4	no
